REGION,PROVINCIA,DISTRITO,LOCALIDAD
CUSCO,ACOMAYO,ACOMAYO,ACCHA ACCHA
CUSCO,ACOMAYO,ACOMAYO,ACOMAYO - NEAREST 2KM
CUSCO,ACOMAYO,ACOMAYO,ANTAPUNCO
CUSCO,ACOMAYO,ACOMAYO,CALLANCA
CUSCO,ACOMAYO,ACOMAYO,CANCHAHUIQQUI
CUSCO,ACOMAYO,ACOMAYO,CCOLLPA
CUSCO,ACOMAYO,ACOMAYO,CONYAC
CUSCO,ACOMAYO,ACOMAYO,HUAMANRURO
CUSCO,ACOMAYO,ACOMAYO,PUCACCASA
CUSCO,ACOMAYO,ACOMAYO,TOCCORAY
CUSCO,ACOMAYO,ACOPIA,ACOPIA - NEAREST 2KM
CUSCO,ACOMAYO,ACOS,ACOS - NEAREST 2KM
CUSCO,ACOMAYO,ACOS,CAMPI
CUSCO,ACOMAYO,ACOS,CONCUNYA
CUSCO,ACOMAYO,ACOS,PUCARA
CUSCO,ACOMAYO,ACOS,RONDOCAN - NEAREST 2KM
CUSCO,ACOMAYO,ACOS,SANTA MARIA
CUSCO,ACOMAYO,ACOS,SAPOPAMPA
CUSCO,ACOMAYO,ACOS,UNCACCAPA
CUSCO,ACOMAYO,ACOS,YUTO
CUSCO,ACOMAYO,MOSOC LLACTA,MOSOC LLACTA - NEAREST 2KM
CUSCO,ACOMAYO,POMACANCHI,ACOPIA - NEAREST 2KM
CUSCO,ACOMAYO,POMACANCHI,ACOS - NEAREST 2KM
CUSCO,ACOMAYO,POMACANCHI,CANCHANURA
CUSCO,ACOMAYO,POMACANCHI,CAPUYO
CUSCO,ACOMAYO,POMACANCHI,CCARANCCARAN
CUSCO,ACOMAYO,POMACANCHI,CHAQUI PUGIO
CUSCO,ACOMAYO,POMACANCHI,CHORACA
CUSCO,ACOMAYO,POMACANCHI,MANCO
CUSCO,ACOMAYO,POMACANCHI,POMACANCHI - NEAREST 2KM
CUSCO,ACOMAYO,POMACANCHI,QUISCA CANCHA
CUSCO,ACOMAYO,POMACANCHI,SANGARARA - NEAREST 2KM
CUSCO,ACOMAYO,POMACANCHI,TOCCORANI
CUSCO,ACOMAYO,POMACANCHI,WIRACCOLCCA
CUSCO,ACOMAYO,RONDOCAN,ACOMAYO - NEAREST 2KM
CUSCO,ACOMAYO,RONDOCAN,CONCUNYA
CUSCO,ACOMAYO,RONDOCAN,HUARO - NEAREST 2KM
CUSCO,ACOMAYO,RONDOCAN,PATACANCHA
CUSCO,ACOMAYO,RONDOCAN,QUEHUARPAMPA
CUSCO,ACOMAYO,RONDOCAN,RONDOCAN - NEAREST 2KM
CUSCO,ACOMAYO,RONDOCAN,SANTA MARIA
CUSCO,ACOMAYO,RONDOCAN,SILLWISQA
CUSCO,ACOMAYO,RONDOCAN,SONDOR
CUSCO,ACOMAYO,RONDOCAN,TOCTOPAMPA
CUSCO,ACOMAYO,RONDOCAN,TTIMPOR
CUSCO,ACOMAYO,RONDOCAN,YANACOCHA
CUSCO,ACOMAYO,SANGARARA,ACCOCUNCA
CUSCO,ACOMAYO,SANGARARA,ACOMAYO - NEAREST 2KM
CUSCO,ACOMAYO,SANGARARA,HUANCANAHUI
CUSCO,ACOMAYO,SANGARARA,KACSATA
CUSCO,ACOMAYO,SANGARARA,PUNAPAMPA (PURUTANI)
CUSCO,ACOMAYO,SANGARARA,SANGARARA - NEAREST 2KM
CUSCO,ANTA,ANCAHUASI,ANCAHUASI - NEAREST 2KM
CUSCO,ANTA,ANCAHUASI,HUAROCONDO - NEAREST 2KM
CUSCO,ANTA,ANCAHUASI,HUILLCCARARA
CUSCO,ANTA,ANCAHUASI,LIMATAMBO - NEAREST 2KM
CUSCO,ANTA,ANCAHUASI,PUMAPATA
CUSCO,ANTA,ANTA,ANTA - NEAREST 2KM
CUSCO,ANTA,ANTA,QUEHUARNIYOC
CUSCO,ANTA,CACHIMAYO,CUSCO - NEAREST 2KM
CUSCO,ANTA,CHINCHAYPUJIO,CAPILLASA
CUSCO,ANTA,CHINCHAYPUJIO,CCAPAHUAYLLA
CUSCO,ANTA,CHINCHAYPUJIO,CHINCHAYPUJIO - NEAREST 2KM
CUSCO,ANTA,CHINCHAYPUJIO,CHUYPA
CUSCO,ANTA,CHINCHAYPUJIO,COILCA
CUSCO,ANTA,CHINCHAYPUJIO,CONDOR PUNUNA
CUSCO,ANTA,CHINCHAYPUJIO,HUAMANCHARPA
CUSCO,ANTA,CHINCHAYPUJIO,HUANCARPATA
CUSCO,ANTA,CHINCHAYPUJIO,HUANEC
CUSCO,ANTA,CHINCHAYPUJIO,HUMAHUAYLLA
CUSCO,ANTA,CHINCHAYPUJIO,ICHILLIHUAY
CUSCO,ANTA,CHINCHAYPUJIO,IVIN
CUSCO,ANTA,CHINCHAYPUJIO,KELLOCORRAL
CUSCO,ANTA,CHINCHAYPUJIO,PAMPACHALLAY
CUSCO,ANTA,CHINCHAYPUJIO,PAMPAHUASI
CUSCO,ANTA,CHINCHAYPUJIO,PANCAPAMPA
CUSCO,ANTA,CHINCHAYPUJIO,PAUCCARCCOTO
CUSCO,ANTA,CHINCHAYPUJIO,PERAHUAYCO
CUSCO,ANTA,CHINCHAYPUJIO,PUCAHUAYLLA
CUSCO,ANTA,CHINCHAYPUJIO,QUESPECCPATA
CUSCO,ANTA,CHINCHAYPUJIO,ROCCOTO
CUSCO,ANTA,CHINCHAYPUJIO,TAMBORADA
CUSCO,ANTA,CHINCHAYPUJIO,TOTORA
CUSCO,ANTA,CHINCHAYPUJIO,ZAMANCCA
CUSCO,ANTA,HUAROCONDO,CACLLAY
CUSCO,ANTA,HUAROCONDO,CHIARA
CUSCO,ANTA,HUAROCONDO,CHUSPIYOC
CUSCO,ANTA,HUAROCONDO,HUAROCONDO - NEAREST 2KM
CUSCO,ANTA,HUAROCONDO,MAHUAYPATA
CUSCO,ANTA,HUAROCONDO,MANCAPUGIO
CUSCO,ANTA,HUAROCONDO,OLLANTAYTAMBO - NEAREST 2KM
CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO
CUSCO,ANTA,HUAROCONDO,SULLICANCHA
CUSCO,ANTA,HUAROCONDO,TURPAY
CUSCO,ANTA,HUAROCONDO,WISCACHANAYOCPATA
CUSCO,ANTA,LIMATAMBO,CALLARACAY
CUSCO,ANTA,LIMATAMBO,CHAQUIL
CUSCO,ANTA,LIMATAMBO,CHITA
CUSCO,ANTA,LIMATAMBO,CONCAHUAYLLA
CUSCO,ANTA,LIMATAMBO,HUMANTAY PAMPA
CUSCO,ANTA,LIMATAMBO,LECHERIA
CUSCO,ANTA,LIMATAMBO,LIMATAMBO - NEAREST 2KM
CUSCO,ANTA,LIMATAMBO,MOLLEPATA - NEAREST 2KM
CUSCO,ANTA,LIMATAMBO,OLLANTAYTAMBO - NEAREST 2KM
CUSCO,ANTA,LIMATAMBO,PIVIL
CUSCO,ANTA,LIMATAMBO,POCPOC
CUSCO,ANTA,LIMATAMBO,QUEHUINCHA
CUSCO,ANTA,LIMATAMBO,QUELLHUACOCHA
CUSCO,ANTA,LIMATAMBO,QUELLON
CUSCO,ANTA,LIMATAMBO,TOCCOBAMBA
CUSCO,ANTA,LIMATAMBO,YANACCULLO
CUSCO,ANTA,MOLLEPATA,ACCONCCA
CUSCO,ANTA,MOLLEPATA,CHANANPAMPA
CUSCO,ANTA,MOLLEPATA,CHUNONA
CUSCO,ANTA,MOLLEPATA,CURAHUASI - NEAREST 2KM
CUSCO,ANTA,MOLLEPATA,HUARANCAYNIYOC
CUSCO,ANTA,MOLLEPATA,HUMANTAY PAMPA
CUSCO,ANTA,MOLLEPATA,LANBRASMOCCO
CUSCO,ANTA,MOLLEPATA,LIMATAMBO - NEAREST 2KM
CUSCO,ANTA,MOLLEPATA,LINFI
CUSCO,ANTA,MOLLEPATA,MALLAO
CUSCO,ANTA,MOLLEPATA,MOLLEPATA - NEAREST 2KM
CUSCO,ANTA,MOLLEPATA,SAN FRANCISCO
CUSCO,ANTA,MOLLEPATA,SANTA ANA
CUSCO,ANTA,MOLLEPATA,SANTA TERESA - NEAREST 2KM
CUSCO,ANTA,MOLLEPATA,TOMATE
CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUINA)
CUSCO,ANTA,MOLLEPATA,VISCACHANAYOC
CUSCO,ANTA,PUCYURA,PUCYURA - NEAREST 2KM
CUSCO,ANTA,ZURITE,ZURITE - NEAREST 2KM
CUSCO,CALCA,CALCA,CALCA - NEAREST 2KM
CUSCO,CALCA,CALCA,CANCHA CANCHA
CUSCO,CALCA,CALCA,CHARAN
CUSCO,CALCA,COYA,COYA - NEAREST 2KM
CUSCO,CALCA,LAMAY,LAMAY - NEAREST 2KM
CUSCO,CALCA,LAMAY,OQUECCASA
CUSCO,CALCA,LARES,CCANCCAU
CUSCO,CALCA,LARES,CCAPAC MACHAY
CUSCO,CALCA,LARES,CCOCHAPATA
CUSCO,CALCA,LARES,CCOCHAYOC
CUSCO,CALCA,LARES,CCOYLLOBAMBA
CUSCO,CALCA,LARES,CHALLABAMBA - NEAREST 2KM
CUSCO,CALCA,LARES,CHILLCAPAMPA
CUSCO,CALCA,LARES,CHILLIMA
CUSCO,CALCA,LARES,CONDICION
CUSCO,CALCA,LARES,CORA CORA
CUSCO,CALCA,LARES,HUALLOPATA
CUSCO,CALCA,LARES,HUAYNAPATA (HUAYLLAPATA)
CUSCO,CALCA,LARES,INCASCANCHA
CUSCO,CALCA,LARES,LARES - NEAREST 2KM
CUSCO,CALCA,LARES,MANTUYOC
CUSCO,CALCA,LARES,PAUCARPATA
CUSCO,CALCA,LARES,PUMAPUNCO
CUSCO,CALCA,LARES,PUNCUCCASA
CUSCO,CALCA,LARES,QEQEQ
CUSCO,CALCA,LARES,QESAN
CUSCO,CALCA,LARES,QOLLANA
CUSCO,CALCA,LARES,QUEBRADA HONDA - NEAREST 2KM
CUSCO,CALCA,LARES,ROQUEPUCYO
CUSCO,CALCA,LARES,SAYACRUMI
CUSCO,CALCA,LARES,YURACTORUYOC
CUSCO,CALCA,PISAC,AMARU
CUSCO,CALCA,PISAC,COLQUEPATA - NEAREST 2KM
CUSCO,CALCA,PISAC,COYA - NEAREST 2KM
CUSCO,CALCA,PISAC,PAMPALLACTA
CUSCO,CALCA,PISAC,PISAC - NEAREST 2KM
CUSCO,CALCA,PISAC,SACACA
CUSCO,CALCA,PISAC,YURACC HUNUYOCC
CUSCO,CALCA,SAN SALVADOR,CABRACANCHA (PARCOR ALTO)
CUSCO,CALCA,SAN SALVADOR,CHAMPACANCHA
CUSCO,CALCA,SAN SALVADOR,PUCARA
CUSCO,CALCA,SAN SALVADOR,SAN SALVADOR - NEAREST 2KM
CUSCO,CALCA,TARAY,PISAC - NEAREST 2KM
CUSCO,CALCA,TARAY,TARAY - NEAREST 2KM
CUSCO,CALCA,YANATILE,CAMPANAYOC
CUSCO,CALCA,YANATILE,CCARON
CUSCO,CALCA,YANATILE,CCORIMAYO
CUSCO,CALCA,YANATILE,CCUCHUYOC
CUSCO,CALCA,YANATILE,CCULLOBAMBA
CUSCO,CALCA,YANATILE,CEDROPATA
CUSCO,CALCA,YANATILE,CHAUPIORCCO
CUSCO,CALCA,YANATILE,CHURUYOC
CUSCO,CALCA,YANATILE,ESTRELLA
CUSCO,CALCA,YANATILE,FLORIDAYOC
CUSCO,CALCA,YANATILE,HORNOPAMPA
CUSCO,CALCA,YANATILE,HORNOPAMPA LOROHUACHANA
CUSCO,CALCA,YANATILE,ICHIO
CUSCO,CALCA,YANATILE,ICHUCA
CUSCO,CALCA,YANATILE,INCA ANDENNIYOC
CUSCO,CALCA,YANATILE,INCASCANCHA
CUSCO,CALCA,YANATILE,KILLIPATA
CUSCO,CALCA,YANATILE,LECHEMAYO
CUSCO,CALCA,YANATILE,MARAMPAMPA
CUSCO,CALCA,YANATILE,MESAPATA 3
CUSCO,CALCA,YANATILE,MOLLEC
CUSCO,CALCA,YANATILE,NARANJAYOC
CUSCO,CALCA,YANATILE,OCOBAMBA /7 - NEAREST 2KM
CUSCO,CALCA,YANATILE,PACCHAC 2
CUSCO,CALCA,YANATILE,PALLAR
CUSCO,CALCA,YANATILE,PALMANAYOC
CUSCO,CALCA,YANATILE,PAYLABAMBA
CUSCO,CALCA,YANATILE,PUCARA
CUSCO,CALCA,YANATILE,QUEBRADA HONDA - NEAREST 2KM
CUSCO,CALCA,YANATILE,QUELLOUNO - NEAREST 2KM
CUSCO,CALCA,YANATILE,RATA RATAYOC
CUSCO,CALCA,YANATILE,RETIRO DEL CARMEN 2
CUSCO,CALCA,YANATILE,RIOBAMBA
CUSCO,CALCA,YANATILE,SAN ANTONIO 2
CUSCO,CALCA,YANATILE,SAN JOSE
CUSCO,CALCA,YANATILE,SAN MIGUEL
CUSCO,CALCA,YANATILE,SANTA ELENA
CUSCO,CALCA,YANATILE,SARAHUASI
CUSCO,CALCA,YANATILE,TARAYOC
CUSCO,CALCA,YANATILE,TUNASPATA
CUSCO,CALCA,YANATILE,YUPANQUI
CUSCO,CALCA,YANATILE,YURACTORUYOC
CUSCO,CANAS,CHECCA,ALTO SAUSAYA
CUSCO,CANAS,CHECCA,ALTO SOROMISA
CUSCO,CANAS,CHECCA,ANTACCARCCA
CUSCO,CANAS,CHECCA,CALVARIO
CUSCO,CANAS,CHECCA,CCASANTA
CUSCO,CANAS,CHECCA,CCAYARANI
CUSCO,CANAS,CHECCA,CCAYHUA ORCCOCCA
CUSCO,CANAS,CHECCA,CCOMAYO
CUSCO,CANAS,CHECCA,CHACAPATA
CUSCO,CANAS,CHECCA,CHANI CENTRAL
CUSCO,CANAS,CHECCA,CHAQUENA
CUSCO,CANAS,CHECCA,CHECCA - NEAREST 2KM
CUSCO,CANAS,CHECCA,CHILA
CUSCO,CANAS,CHECCA,CHILUYO
CUSCO,CANAS,CHECCA,CHIUCHIRI
CUSCO,CANAS,CHECCA,CHULLUNQUIANI
CUSCO,CANAS,CHECCA,HATUN TUCSA
CUSCO,CANAS,CHECCA,HUACRAHUACHO QUILLIHUARA
CUSCO,CANAS,CHECCA,HUAYTO
CUSCO,CANAS,CHECCA,IRUBAMBA
CUSCO,CANAS,CHECCA,JANAPAMPA
CUSCO,CANAS,CHECCA,KISIO
CUSCO,CANAS,CHECCA,KUTY HANANSAYA
CUSCO,CANAS,CHECCA,LARAMANI
CUSCO,CANAS,CHECCA,MALLCUNACA
CUSCO,CANAS,CHECCA,MANURA
CUSCO,CANAS,CHECCA,PAMPA CUCHO
CUSCO,CANAS,CHECCA,PARCCOMA
CUSCO,CANAS,CHECCA,PATILLANI
CUSCO,CANAS,CHECCA,PUCARA
CUSCO,CANAS,CHECCA,QHORA PUKARA
CUSCO,CANAS,CHECCA,QUILCANI
CUSCO,CANAS,CHECCA,QUILLIHUARA BAJO
CUSCO,CANAS,CHECCA,RUMICHACA
CUSCO,CANAS,CHECCA,SANOHUIRE
CUSCO,CANAS,CHECCA,SANTA CRUZ
CUSCO,CANAS,CHECCA,SOROMISA
CUSCO,CANAS,CHECCA,TARUCUYO
CUSCO,CANAS,CHECCA,TECCOPAMPA
CUSCO,CANAS,CHECCA,YAURICHACA
CUSCO,CANAS,KUNTURKANKI,ALTO NEVADO
CUSCO,CANAS,KUNTURKANKI,AMAYANI
CUSCO,CANAS,KUNTURKANKI,ANTACCARCCA
CUSCO,CANAS,KUNTURKANKI,BALCON CCACCA
CUSCO,CANAS,KUNTURKANKI,BUENA VISTA
CUSCO,CANAS,KUNTURKANKI,CCUCHUCHU
CUSCO,CANAS,KUNTURKANKI,CHAMBILLA
CUSCO,CANAS,KUNTURKANKI,CHIHUINAIRA
CUSCO,CANAS,KUNTURKANKI,CUSIBAMBA
CUSCO,CANAS,KUNTURKANKI,EL DESCANSO - NEAREST 2KM
CUSCO,CANAS,KUNTURKANKI,ETURUTA
CUSCO,CANAS,KUNTURKANKI,HUARACONI
CUSCO,CANAS,KUNTURKANKI,JAJATA
CUSCO,CANAS,KUNTURKANKI,JEHUANI CHUNI
CUSCO,CANAS,KUNTURKANKI,KACSILLE
CUSCO,CANAS,KUNTURKANKI,LANGUI - NEAREST 2KM
CUSCO,CANAS,KUNTURKANKI,MALLCUNACA
CUSCO,CANAS,KUNTURKANKI,OQUEBAMBA
CUSCO,CANAS,KUNTURKANKI,PAKOBAMBA
CUSCO,CANAS,KUNTURKANKI,PAMPACHULLA
CUSCO,CANAS,KUNTURKANKI,PARQUI
CUSCO,CANAS,KUNTURKANKI,PATILLANI
CUSCO,CANAS,KUNTURKANKI,PICHIGUA - NEAREST 2KM
CUSCO,CANAS,KUNTURKANKI,PUCACANCHA
CUSCO,CANAS,KUNTURKANKI,PULLA PULLA
CUSCO,CANAS,KUNTURKANKI,QUILCANI
CUSCO,CANAS,KUNTURKANKI,SEPAPAMPA
CUSCO,CANAS,KUNTURKANKI,THUSA SOCLLA
