OBJECTID,VERTICE,REGION,PROVINCIA,DISTRITO,LOCALIDAD,LATITUD,LONGITUD
28584,3576.00000000000,CUSCO,LA CONVENCION,VILLA VIRGEN,HUALLGUAPAMPA,-13.045826010,-73.47359326
28603,3595.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.456850950,-72.61363794
28604,3596.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.457290500,-72.61410961
28605,3597.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.455616220,-72.61934102
28606,3598.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.455663820,-72.61949610
28607,3599.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.456339570,-72.61409484
28608,3600.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.461428430,-72.60608962
28609,3601.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.461388320,-72.60622185
28610,3602.00000000000,CUSCO,ANTA,MOLLEPATA,MALLAO,-13.461301360,-72.60668986
28611,3603.00000000000,CUSCO,ANTA,MOLLEPATA,SAN FRANCISCO,-13.465608980,-72.74783719
28612,3604.00000000000,CUSCO,ANTA,MOLLEPATA,SAN FRANCISCO,-13.474356010,-72.74097111
28613,3605.00000000000,CUSCO,ANTA,MOLLEPATA,SAN FRANCISCO,-13.471858620,-72.73953914
28614,3606.00000000000,CUSCO,ANTA,MOLLEPATA,SAN FRANCISCO,-13.470974180,-72.73902604
28615,3607.00000000000,CUSCO,ANTA,MOLLEPATA,SAN FRANCISCO,-13.470535760,-72.73871075
28616,3608.00000000000,CUSCO,ANTA,MOLLEPATA,SAN FRANCISCO,-13.471451280,-72.73443038
28617,3609.00000000000,CUSCO,ANTA,MOLLEPATA,TOMATE,-13.472473090,-72.63034250
28618,3610.00000000000,CUSCO,ANTA,MOLLEPATA,TOMATE,-13.472489520,-72.63030794
28619,3611.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.510287600,-72.59528609
28620,3612.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.510350870,-72.59578168
28621,3613.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.517414110,-72.59183979
28622,3614.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.514449990,-72.58931914
28623,3615.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.514831410,-72.58864814
28624,3616.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.514602870,-72.58850983
28625,3617.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.514625030,-72.58843301
28626,3618.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.515232680,-72.58812221
28627,3619.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.515261210,-72.58804881
28628,3620.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.515314640,-72.58810610
28629,3621.00000000000,CUSCO,ANTA,MOLLEPATA,UNURAQUINA (UNURAQUIÑA),-13.508079880,-72.58873111
28630,3622.00000000000,CUSCO,ANTA,MOLLEPATA,ACCONCCA,-13.534188320,-72.56807540
28631,3623.00000000000,CUSCO,ANTA,MOLLEPATA,ACCONCCA,-13.532359420,-72.56540340
28671,3663.00000000000,CUSCO,ANTA,MOLLEPATA,HUARANCAYNIYOC,-13.491939980,-72.63544571
28672,3664.00000000000,CUSCO,ANTA,MOLLEPATA,CHANANPAMPA,-13.488714810,-72.62078778
28673,3665.00000000000,CUSCO,ANTA,MOLLEPATA,CHANANPAMPA,-13.488680780,-72.62067420
28674,3666.00000000000,CUSCO,ANTA,MOLLEPATA,CHANANPAMPA,-13.488637100,-72.62078352
28675,3667.00000000000,CUSCO,ANTA,MOLLEPATA,SANTA ANA,-13.452741590,-72.75457148
28710,3702.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553429360,-72.40537969
28711,3703.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553398880,-72.40526323
28712,3704.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553320230,-72.40546956
28713,3705.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553196630,-72.40567602
28714,3706.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553107590,-72.40555545
28715,3707.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553124410,-72.40580233
28716,3708.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.552984030,-72.40557115
28717,3709.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.556254550,-72.40371451
28718,3710.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553092840,-72.40569114
28719,3711.00000000000,CUSCO,ANTA,LIMATAMBO,PIVIL,-13.553226740,-72.40552855
28720,3712.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.564142470,-72.43175063
28721,3713.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.564778480,-72.43263534
28722,3714.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.564708960,-72.43269249
28723,3715.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.564728700,-72.43260129
28724,3716.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.564855150,-72.43254172
28725,3717.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.565193120,-72.43260561
28726,3718.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.566203360,-72.43128051
28757,3749.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581535710,-72.43151540
28758,3750.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581492320,-72.43174495
28759,3751.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581506370,-72.43167339
28760,3752.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581465370,-72.43179298
28761,3753.00000000000,CUSCO,ANTA,LIMATAMBO,CHITA,-13.573778740,-72.41644951
28762,3754.00000000000,CUSCO,ANTA,LIMATAMBO,CHITA,-13.573162960,-72.40832981
28763,3755.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.548466050,-72.44823136
28764,3756.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.547983560,-72.44848706
28765,3757.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.548450870,-72.44810413
28766,3758.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.548405470,-72.44820014
28768,3760.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389272720,-72.25125940
28769,3761.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389559820,-72.25143817
28770,3762.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389339370,-72.25154725
28771,3763.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389349390,-72.25145590
28772,3764.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345292340,-72.28380257
28773,3765.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345993890,-72.28138649
28774,3766.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345405340,-72.28298843
28775,3767.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345336890,-72.28291932
28776,3768.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346526840,-72.28325900
28777,3769.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346545200,-72.28334077
28778,3770.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346080730,-72.28479238
28779,3771.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.348307600,-72.28365583
